,toxic_neg_coef,toxic_neg_ngram,toxic_pred_coef,toxic_pred_ngram,severe_toxic_neg_coef,severe_toxic_neg_ngram,severe_toxic_pred_coef,severe_toxic_pred_ngram,obscene_neg_coef,obscene_neg_ngram,obscene_pred_coef,obscene_pred_ngram,threat_neg_coef,threat_neg_ngram,threat_pred_coef,threat_pred_ngram,insult_neg_coef,insult_neg_ngram,insult_pred_coef,insult_pred_ngram,identity_hate_neg_coef,identity_hate_neg_ngram,identity_hate_pred_coef,identity_hate_pred_ngram
0,-88.14496422408705, ,73.6400954755054,fuck,-136.11655336029395, ,62.04869288711882,694 ,-30.49372102217479,oy ta,77.37104999912249,fuc,-37.947233438786135,g rap,33.617140461260426,neck.,-161.0071494602296, ,42.822585729441684,diot,-146.8906924617214, ,43.803888940891106,homo
1,-21.163505198026414,ay pr,60.82093621420708,diot,-49.68088856789896,d ro,55.405034100516424,u **,-26.42141448491868,d su,56.611760071735716,shit,-23.428597925282105,e re,32.82257182819506,ang y,-25.74754728901134,l who,36.130214597624004, moro,-26.32622868815364,d gr,42.27549627728692,negr
2,-20.95539533366173,?,55.50453249182646,shit,-49.364768055943664,assf,53.50652973708844,ecci,-25.48274148985044,e ,46.8480617498301,cunt,-20.040787681010414,ond,32.62950397300731,th to,-24.92435165445547,hole),35.95342744774115, scum,-23.405361175227487,ottt,33.72493244603463,jew
3,-20.80659014011828,ciat,43.97412196534475,bitch,-48.22185537297105,", ug",50.74175904627305,d.ha,-23.74162764604661,tbag ,42.242486003930324,puss,-19.07988372378664,tho,30.622612896864638,cut,-23.194224889437553,"""",28.811096763406788, fool,-21.87758767447956,zi p,32.95864479966369,gay
4,-19.844032720268928,mn se,43.66244866659513, crap,-40.30108883352348,"f, y",48.80038165465421,ad==,-21.935036685061327,assu,40.890868571035476,fuck,-18.422801697728453,le a,27.5780568768993,die,-21.24327551695229, whol,27.93159992592539,ostit,-21.194252805698376, che,30.632352626434756,nig
5,-19.207320839636303,),40.73901707604654,dick,-39.547200388171,rs c,48.65102723623294,r- b,-21.768101852277727,les l,38.097300165170076, ass,-18.411367349418487,le s,27.491597799213253,troy ,-20.66565681350866, i.,27.82704101323162, ass,-20.37273190300991,nsi,28.876953847012263,c.k.
6,-19.062108979489395, assi,39.375239078672706,suck,-37.205525176821816,aced,48.21291774368609,! gi,-19.79503471712949,ello,35.829020595124994, tits,-18.02374769445459,e ,27.435601972171863,nch y,-20.660999392351595,u! fu,26.229353087368427,tard,-20.253982976680057,sona,27.01115175896982, g g
7,-18.65955763732961,"old,",37.90664725813145,gay,-36.776220345923406,y st,47.713421960214006,f tb,-18.6247320352912,"g, if",35.64949987158523,dick,-16.65728847403146,ade,26.88966025719833,a pin,-19.40013720779566,l sc,26.175093217909694,oser,-20.2154826203732,08,26.961565476352042, d**
8,-18.311592965002284,thank,37.60810691662131,nigg,-36.43168536187603,", bl",46.69892911648978,f2 f,-16.642527860853782,er pu,34.713440144933884,cock,-15.845436804019899,a bit,26.47332099264929,lit y,-18.57324266711489,p:,25.751574645189773,stink,-20.17956905473589,""" ",26.26626557928043,elyt
9,-16.12114235563882, assu,37.32135798857772,f*,-35.41961015284573,cos,45.92983651959071,c wt,-16.438702842928407,d don,34.28289353553809,f*,-15.47785724687244,io,25.64787395317079,mit s,-18.421632145695547,hit d,25.741462605150595,fuc,-18.77796996194539,kp,24.616470123085353,oloc
10,-16.079456789128233,"""",37.204523782050536,fag,-35.16898433520864, u i,42.680600232230354,uked,-15.903344339461048,ah we,33.82602673683946,suck,-15.23070353787791,s the,25.469940874799708, stab,-17.94945054120493,t tol,24.105226949152122,bitch,-17.93462981543423,w go,24.370082332449215,nazi
11,-15.887489646754, luck,34.955625740878354,fuc,-33.65814187810977,ia! ,42.6711788033096,zi! ,-15.319606599374568,lone ,31.71089955079081, ass.,-14.994110179912687,ost ,25.23624984536711,"bind,",-17.75514942761636,),23.618715664324807,jerk,-17.842431732473056,d st,24.356627793014155,blac
12,-15.82752887496489,hank ,34.04350255109904,vagin,-33.15608772151226,k ba,42.65535863312852,////,-15.069774513967376,inalw,30.384990544187463,anal ,-14.634300747132034,t in,25.14487571750333,shal,-17.71791475151202,h ass,23.595656439397768,dum,-17.827323101360687,bare,23.683568160434127,lesb
13,-15.244832201364787,"an, a",32.20303329786432,wtf,-32.70517118113938,t. p,40.03187423809453, ck ,-14.542406900404618,ce wa,29.605070321946357,fag,-14.561556210161704,well ,25.123745231977892,aped,-17.68363567829829,ck mo,23.045160357521343,bitc,-17.564927431821967,onky,23.665504189428308,mosl
14,-14.939806062042393," """,32.170310565299125,tard,-32.51597854341504,adge,39.82039774092885,e f.,-14.412094670559242,check,29.122987661425643,diot,-14.455133372565045,coo,24.864062648813434,ass. ,-17.067699726718295,e oth,22.847856060290933,fag,-17.42642913386974,y,22.36599705421581, 05:
15,-14.768474275316613,young,31.720690732373786,nazi,-32.429644004687965,o. s,38.904363553239065,7.85,-14.388240697838905, theo,28.99317893712821,jerk,-14.448107270607569,chee,24.065404562119063,ife,-16.127165240752532,iot o,22.425083637177547,hell.,-17.3701870424495,hap,21.894077146264635,k! n
16,-14.403411967634304,mich,30.16061256724235, ugl,-32.04814356859138,pir,37.07514752982007,"""* l",-14.364473924693641,r wa,27.990529054669853,sex,-13.717517623721326,o to,22.986762743623125,shhhh,-16.085105677588878,"f, a",22.025512777951047,ggo,-17.230187045660585,0,21.483634628846023,u? s
17,-14.382738508891794,heers,29.070231208016967, whor,-31.54822051584766,r in,36.81625509175593,! ji,-14.316673278040565,d luc,27.14777087127068, ass ,-13.694407406780288,l mys,22.501293385506557,a 1,-15.9079706432212,db,21.263589302355374,-u-,-17.159490372240246,nigh,21.478260741381327,regu
18,-14.259090951721351,omise,29.015710902456192,dumb,-31.163313431926607,ia n,36.59289872420366,fyu,-13.899144745572322,y ac,26.89306260324749,bitch,-13.4366508229406, chan,22.49645071173417,'l,-15.809829430692062,u,21.17672384794125,kass,-16.425098489732257,rta,21.04331518648298,nigg
19,-13.707131552659357,oth ,28.981494632616204, liar,-31.03347032082677,' a,35.905739561793865,ug u,-13.80421016488076, whol,26.745265553264712,bithc,-13.122365392030435,t a,22.036624174682522,n and,-15.515365488166823,ching,21.073681281774462,fcuk,-16.296853704900446,edi,20.825322999503456,gaaa
20,-13.627521800105484, whol,28.798844022254645,penis,-30.659307620438923,dutc,35.61405003633789,*ck,-13.691522641872792,y j,26.73717199767204,uck,-13.047975639301267,rit,21.50382812242432,kill,-15.385494071516806,lp ,20.93432947120432,ypoc,-15.804002484292429,'s ,20.665030795513818,fukc
21,-13.489225815911873,hank,28.33948471163588, jerk,-30.57144372850203,rey ,35.448175557764465,e fc,-13.68192852946146,t ,26.567962662185174, f u,-12.975547866687693,hank,21.17228370000811,wi,-15.003107245516784, on n,19.868321266570693,whore,-15.755666598272915,agr,20.380748891985196,ue m
22,-13.446122387203438,pular,28.227946804962173,urbat,-30.201335572701588,wow ,34.177975100825066,b am,-13.49373890774393,cut y,26.529185057654963,fuk,-12.93835703888833,usi,20.91296255941164, clay,-14.994578087129808,a tro,19.576172687558337, fuk,-15.705219369688042,ll p,20.37608795174588,usul
23,-13.382979785844082,"ht, t",27.94646603884017,hole,-29.605186560289663,h fa,34.036235753107874,ia l,-13.482776216736289,aves!,26.259519410827764,penis,-12.815451881688547,ocke,20.834484470164266,hoot ,-14.578410959721706,k a c,19.459044552121803,suck,-15.011304594288713,is r,20.201320189857395,mh 
24,-13.34035833047076, mov,27.828064899813644, ass ,-29.335019909650704,ff d,33.8927340646696,y! b,-13.053206093529784,rc,26.085071922608385, f*,-12.785110195411265,ct,20.760773205016417,hrow ,-13.973820679913368,isa,18.99236475015834,gnora,-14.995869740289345,m ga,19.89535850617909,l js
25,-12.829712464427962, best,27.17806466061112, ass,-28.94031255390855,i u,32.98752915730202,igus,-13.04576497116541,th,25.740419019890275,fock,-12.531091892897447,d. if,20.602157748400703,veng,-13.899034630989627, i ap,18.98786561367613,fat ,-14.840211077823472,rigi,19.610659256598854,"sex,"
26,-12.557399386070463,""" j",27.0152195573214,moron,-28.79433813659007,e,32.92308189506907,"lf ,",-12.861444244614713,l pe,25.645090420355825,stup,-12.377203498729852,oe,20.352591497971765,ys ut,-13.813146122442069,] ,18.9791185301052,gay,-14.782709613608342,"ah,",19.557439707010786,refu
27,-12.542034655174744,ttere,26.735285576648835,sex,-28.727154912731155,u nu,32.87267849779002,i n ,-12.681768981117573,base,25.06000036336832,fcuk,-12.301606950518758, so,20.24701708622402,et! h,-13.78936865050751,],18.284384526869193,nigg,-14.557012092567005,per ,19.483344847658906,forb
28,-12.512682171940016,hitba,25.95861469226055, fart,-28.613938666102534,p it,32.536741796466664,"f, w",-12.455490718068278,fall,24.96743549777764,ilth,-11.795812705720296,pos,19.82383693812284, fire,-13.119982692148868,g bas,18.01564493447544,sluts,-14.428874454478857,whac,19.0749320801815, nl
29,-12.506548681168598, at ,25.803947783005363,fuk,-28.45069232402907,cox ,32.503944697949855,ig f,-12.368533367493448,ife..,24.88067541481093,moron,-11.770780984243924,g hi,19.660239489559213,punch,-13.097469470292149,wa ,17.911084837621413, slut,-14.416806561462234,"oo,",18.854299900155873,f ni
