,abusive_neg_coef,abusive_neg_ngram,abusive_pred_coef,abusive_pred_ngram,hateful_neg_coef,hateful_neg_ngram,hateful_pred_coef,hateful_pred_ngram,normal_neg_coef,normal_neg_ngram,normal_pred_coef,normal_pred_ngram,spam_neg_coef,spam_neg_ngram,spam_pred_coef,spam_pred_ngram
0,-23.62363848595231,nigg,72.64096556128,fuck,-23.329164207107485,fuck,46.59158127470904,nigg,-15.506971339321261,fuck,3.1017098441929445, as ,-43.56283723175688,fuck,24.894775289599906,hfd
1,-20.54173233001003,ss bi,65.84508396980775,fuc,-16.288003875806982,line,32.373355184988476, nazi,-15.504750302375045,fuc,2.9550747874359686, i,-23.647038429612433, i ,22.892488523360125,.co
2,-12.321503407462735,g hat,64.82412135610657,shit,-14.45852533118432,thank,26.468628448186234,uslim,-13.860424380596273, fuc,2.8905040537017066, i ,-21.745276908018372,bitch,19.978503896982495,ownl
3,-9.654652224939182,ga st,50.80586711578464,bitch,-13.939126196705482,le to,22.571428053427443,racis,-13.805746534830869, fuck,2.8816534751985805,. #,-21.239890977747876, bil,18.639767438599055,d @r
4,-7.891767231153761,day,43.80522309868289,damn,-13.596042328155244,dz,21.168707508903054,hut y,-13.222324945332177,uck,2.842167647725299, fun,-18.860242620954224,sick ,18.30204402239227,ar tr
5,-7.458039868465168,nigga,35.94334146825978,tard,-13.272891325942563,oo s,21.100237147271574,gga,-12.049975481224616,shit,2.7277875030319003,fun,-18.625944857060887,igga,18.239265576865318,weet.
6,-7.452058758158661,great,35.658028967186155, ass,-13.17914696422698, new ,19.648186220994226, corr,-11.14481698498086, shit,2.709626097949048,ins ,-18.312311060408447,hate,17.845603626217788,chand
7,-6.971084995291776, new,32.54840718645455, dick,-12.751438853293493,nded ,19.56914104639312,r7m,-10.492733129531464, ass,2.7022887632316746,ac,-18.266416341813805,but ,16.838736734530414,isit 
8,-6.621955278220757,/5,30.20955190095607,uck,-12.601142761280014, #,19.264078336272114, hat,-10.255173142566713,fu,2.682001161734392,ack,-17.61905836753556,both,16.81054274479801,hacks
9,-6.030470598589487,'t fu,29.91356064719753,rt @,-12.571163375686732,came,19.01836800636474,ligi,-10.232388350844523, fu,2.6125124027784703, bac,-17.14904853578213,ing 2,16.30141019812681,ilf f
10,-5.94442896231584,thank,26.70347259082046,idio,-12.498982245963699,kin h,18.38117336135378,jsf,-9.982615884463891, ass ,2.5980905493313733,ar,-16.700078439157902,idi,16.297892557253824, : @
11,-5.8826355217703625, more,23.456239701270906,idiot,-11.735642199091618,ces,18.356807815826304, eun,-9.168140496050055,uc,2.5809383411520965,h7,-16.556420019598423, @,15.99253174211133,al fr
12,-5.604688204434424, - ,22.71722836396845, ass ,-11.417781437954428,iness,17.548815253302738,gusti,-8.649949162883376,bitch,2.562850696610849,than,-15.431814919140598,lion ,15.966308662207581,. #g
13,-5.08770087968947, #,22.62105079811462, peni,-11.259371911615744,gol,17.219621542357952,men ,-8.460350412870474,bitc,2.511869036508985,bac,-14.988455443340152,ba ht,15.836509130894823,"vd,"
14,-5.033771127465712, 1,19.17240353888172, puss,-11.15427580802675,yaa,16.781414335184635, gay,-8.399044315196923,fucki,2.5065876271284155,thank,-14.968007802106232,tard,15.776112415173937,.c
15,-4.928022763031347,tio,15.947357812809086,bitc,-11.085420269495733,ial,16.750277394421953,slam,-8.316952629451869,ck,2.49112763947329, m,-14.821188601678577,ducti,15.752622472947289,page
16,-4.867309156373613, for,14.528597688364325,diot,-11.057638228922741, a st,16.697439193764932,. his,-8.216697983357099, bitc,2.4851987841594023,back,-14.799244858912726,hti,15.390786415453013,Â® 
17,-4.616704151748002,hate ,14.480555177817712,dumb,-10.386845409985176, bag ,16.60232845670532,hate,-8.155773758812114,hit,2.4236057208688715,hello,-14.614081687559764,!!!! ,14.688049219107958,n agr
18,-4.237136654939658,eo ,13.342137321478793,ugly,-10.333271209045725,usic,16.599083246746535,kil,-8.093258941045372,uckin,2.374348607862605,@a,-14.515709450836173, was,14.646720601762935,t fit
19,-3.998481725344919,lp,13.273613113643975,sex,-10.290182556371086,job,16.398864563265846,iot,-8.0837078851575,idiot,2.3604986698284582, back,-14.473544628697853,y fl,14.615673013987177,t lev
20,-3.9029852390073496, ga,11.937183011692019,nast,-10.108707165691607,short,16.117414727087375,natic,-8.017651509444681,diot,2.3352546602929216,ood ,-14.31888042195074, ye,14.606032380784043,pe b
21,-3.794886977126996,isl,11.809483564076269,cock,-9.933086739499117,vel,15.984216007186365,lt s,-7.939234619114027,shit ,2.3139055605810968,ful,-14.288659731094263,mcc,14.389695969141398,agedy
22,-3.6633765865928902, nigg,11.554031550754653,dirty,-9.888575768060287,ng hi,15.867968609830855,oran,-7.896489742611866,idio,2.3112296604906897,k s,-14.260032239167092,cis,14.373262046692664, link
23,-3.6349867233697237,help,10.930580446177062,ck,-9.487644469062614,ed &#,15.734483393103876,ican,-7.8833407314530195,ucki,2.30512619489115,i hav,-14.256114718926622,een l,14.344389344403101,uine 
24,-3.625342581772712,re,10.848856308798076, cun,-9.460106959950147,rie,15.470298460962622,h off,-7.5709832863904705, idi,2.294978340897249,elp,-14.198061454444371,at 1,14.194260379230478,ulder
25,-3.4491064376754665,i h,10.518356223917023,bad,-9.370960105962816,32,15.44742349964533,t its,-7.566793420201994, idio,2.2945368165811093,ork,-14.143542767008432,shit,14.152528377773335,pxn
26,-3.168718149748895, bac,10.486686381604297, cra,-9.22431990848917,ura,15.368598352266545,d ric,-7.288850220609575, shi,2.2870579630178813,rit,-13.9987861094189,lega,14.139252537776546,regis
27,-3.1056187050823825,more ,10.164746712450988, suck,-8.958008366531418,nsw,15.13350664637676,it? ,-7.125259535505498,rt @,2.2502266526193613,od ,-13.927094118282326,; yo,14.00119734770107,an ru
28,-3.024151742649037,ia ,10.154481634608164, shit,-8.896854635272529,mpa,15.092088370760438," ""r",-6.986952322881086,ass ,2.245683921623871,acki,-13.609511263338938,iot,13.849316767732628,% off
29,-2.9082842208796142,er,10.147346349679484,pussy,-8.865190821420864,ame i,15.003161182619515,hell ,-6.7400113915011275,dio,2.243852797758439, lo,-13.604347903545573, stop,13.825828502440471,aire
